,Unnamed: 0,reaction,solved,input_reaction,rules,solved_by,confidence,R-ids,datasets,correct_reaction,wrong_reactions
3031,3031,CC(=O)CCc1ccccc1C(F)(F)F.N.[C-]#N>>CC(N)(C#N)CCc1ccccc1C(F)(F)F.[OH-],True,CC(=O)CCc1ccccc1C(F)(F)F.N.[C-]#N>>CC(N)(C#N)CCc1ccccc1C(F)(F)F,,rule-based,,[],['USPTO_diff'],,[]
3032,3032,CC(C)CC(N)c1ccccc1.CCOC(=O)[C@@H]1O[C@H]1C(=O)[O-]>>CCOC(=O)[C@@H]1O[C@H]1C(=O)NC(CC(C)C)c1ccccc1.[OH-],True,CC(C)CC(N)c1ccccc1.CCOC(=O)[C@@H]1O[C@H]1C(=O)[O-]>>CCOC(=O)[C@@H]1O[C@H]1C(=O)NC(CC(C)C)c1ccccc1,,rule-based,,[],['USPTO_diff'],,[]
3033,3033,CC(C)[Si](Oc1cccc2c1CNCC2)(C(C)C)C(C)C.O=C([O-])CCCCO>>CC(C)[Si](Oc1cccc2c1CN(C(=O)CCCCO)CC2)(C(C)C)C(C)C.[OH-],True,CC(C)[Si](Oc1cccc2c1CNCC2)(C(C)C)C(C)C.O=C([O-])CCCCO>>CC(C)[Si](Oc1cccc2c1CN(C(=O)CCCCO)CC2)(C(C)C)C(C)C,,rule-based,,[],['USPTO_diff'],,[]
3034,3034,Fc1ccc2c(c1F)CCN2.O=C([O-])Cc1nc(N2CCOCC2)cc(=O)[nH]1>>O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c1ccc(F)c2F.[OH-],True,Fc1ccc2c(c1F)CCN2.O=C([O-])Cc1nc(N2CCOCC2)cc(=O)[nH]1>>O=C(Cc1nc(N2CCOCC2)cc(=O)[nH]1)N1CCc2c1ccc(F)c2F,,rule-based,,[],['USPTO_diff'],,[]
3035,3035,CCOC(=O)c1ccc(OC)c(C(=O)[O-])c1.Nc1ccc(Cl)cc1>>CCOC(=O)c1ccc(OC)c(C(=O)Nc2ccc(Cl)cc2)c1.[OH-],True,CCOC(=O)c1ccc(OC)c(C(=O)[O-])c1.Nc1ccc(Cl)cc1>>CCOC(=O)c1ccc(OC)c(C(=O)Nc2ccc(Cl)cc2)c1,,rule-based,,[],['USPTO_diff'],,[]
3036,3036,O=C1CCCCCC1.O=C1NCN(c2ccccc2)C12CCNCC2.[C-]#N>>N#CC1(N2CCC3(CC2)C(=O)NCN3c2ccccc2)CCCCCC1.[OH-],True,O=C1CCCCCC1.O=C1NCN(c2ccccc2)C12CCNCC2.[C-]#N>>N#CC1(N2CCC3(CC2)C(=O)NCN3c2ccccc2)CCCCCC1,,rule-based,,[],['USPTO_diff'],,[]
3037,3037,CSc1nc(Cl)c(C(N)=O)c(Nc2ccc(C)nc2)n1.C[O-]>>COc1nc(SC)nc(Nc2ccc(C)nc2)c1C(N)=O.[Cl-],True,CSc1nc(Cl)c(C(N)=O)c(Nc2ccc(C)nc2)n1.C[O-]>>COc1nc(SC)nc(Nc2ccc(C)nc2)c1C(N)=O,,rule-based,,[],['USPTO_diff'],,[]
3038,3038,ClCSc1nc(Cl)c(Cl)nc1Cl.N#C[S-]>>N#CSCSc1nc(Cl)c(Cl)nc1Cl.[Cl-],True,ClCSc1nc(Cl)c(Cl)nc1Cl.N#C[S-]>>N#CSCSc1nc(Cl)c(Cl)nc1Cl,,rule-based,,[],['USPTO_diff'],,[]
3039,3039,CCOCc1nc2c(N)nc3ccccc3c2n1CCCl.[N-]=[N+]=[N-]>>CCOCc1nc2c(N)nc3ccccc3c2n1CCN=[N+]=[N-].[Cl-],True,CCOCc1nc2c(N)nc3ccccc3c2n1CCCl.[N-]=[N+]=[N-]>>CCOCc1nc2c(N)nc3ccccc3c2n1CCN=[N+]=[N-],,rule-based,,[],['USPTO_diff'],,[]
3040,3040,C[O-].FC(F)(F)c1ccccc1OC1CCN(c2ccc(Cl)nn2)CC1>>COc1ccc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)nn1.[Cl-],True,C[O-].FC(F)(F)c1ccccc1OC1CCN(c2ccc(Cl)nn2)CC1>>COc1ccc(N2CCC(Oc3ccccc3C(F)(F)F)CC2)nn1,,rule-based,,[],['USPTO_diff'],,[]
3041,3041,C[S-].Nc1cc(Cl)ncn1>>CSc1cc(N)ncn1.[Cl-],True,C[S-].Nc1cc(Cl)ncn1>>CSc1cc(N)ncn1,,rule-based,,[],['USPTO_diff'],,[]
3042,3042,CC(C)c1nc(CCl)n(C)c1Sc1cc(Cl)cc(Cl)c1.[N-]=[N+]=[N-]>>CC(C)c1nc(CN=[N+]=[N-])n(C)c1Sc1cc(Cl)cc(Cl)c1.[Cl-],True,CC(C)c1nc(CCl)n(C)c1Sc1cc(Cl)cc(Cl)c1.[N-]=[N+]=[N-]>>CC(C)c1nc(CN=[N+]=[N-])n(C)c1Sc1cc(Cl)cc(Cl)c1,,rule-based,,[],['USPTO_diff'],,[]
3043,3043,Fc1ccc(NC(=S)[S-])c(F)c1F.O=C(CCl)CCl>>O=C(CCl)CSC(=S)Nc1ccc(F)c(F)c1F.[Cl-],True,Fc1ccc(NC(=S)[S-])c(F)c1F.O=C(CCl)CCl>>O=C(CCl)CSC(=S)Nc1ccc(F)c(F)c1F,,rule-based,,[],['USPTO_diff'],,[]
3044,3044,CC(=O)OCC=C(C)CCl.O=S([O-])c1ccccc1>>CC(=O)OCC=C(C)CS(=O)(=O)c1ccccc1.[Cl-],True,CC(=O)OCC=C(C)CCl.O=S([O-])c1ccccc1>>CC(=O)OCC=C(C)CS(=O)(=O)c1ccccc1,,rule-based,,[],['USPTO_diff'],,[]
3045,3045,Cc1sc2nc([S-])n(N)c(=O)c2c1C.ClCCCN1CCN(c2ccc3ccccc3n2)CC1>>Cc1sc2nc(SCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2c1C.[Cl-],True,Cc1sc2nc([S-])n(N)c(=O)c2c1C.ClCCCN1CCN(c2ccc3ccccc3n2)CC1>>Cc1sc2nc(SCCCN3CCN(c4ccc5ccccc5n4)CC3)n(N)c(=O)c2c1C,,rule-based,,[],['USPTO_diff'],,[]
3046,3046,CO[Si](OC)(OC)c1ccc(CCl)cc1.[N-]=[N+]=[N-]>>CO[Si](OC)(OC)c1ccc(CN=[N+]=[N-])cc1.[Cl-],True,CO[Si](OC)(OC)c1ccc(CCl)cc1.[N-]=[N+]=[N-]>>CO[Si](OC)(OC)c1ccc(CN=[N+]=[N-])cc1,,rule-based,,[],['USPTO_diff'],,[]
3047,3047,CC(C)(C)OC(=O)N1[C@H](CO)[C@H]2OC(C)(C)O[C@H]2[C@@H]1c1c[nH]c2c(Cl)ncnc12.[N-]=[N+]=[N-]>>CC(C)(C)OC(=O)N1[C@@H](c2c[nH]c3c(N=[N+]=[N-])ncnc23)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1CO.[Cl-],True,CC(C)(C)OC(=O)N1[C@H](CO)[C@H]2OC(C)(C)O[C@H]2[C@@H]1c1c[nH]c2c(Cl)ncnc12.[N-]=[N+]=[N-]>>CC(C)(C)OC(=O)N1[C@@H](c2c[nH]c3c(N=[N+]=[N-])ncnc23)[C@@H]2OC(C)(C)O[C@@H]2[C@@H]1CO,,rule-based,,[],['USPTO_diff'],,[]
3048,3048,CC(C)(C)[O-].O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(Cl)c(Cl)nc12>>CC(C)(C)Oc1nc2c([N+](=O)[O-])c(Cl)c(Cl)cc2nc1Cl.[Cl-],True,CC(C)(C)[O-].O=[N+]([O-])c1c(Cl)c(Cl)cc2nc(Cl)c(Cl)nc12>>CC(C)(C)Oc1nc2c([N+](=O)[O-])c(Cl)c(Cl)cc2nc1Cl,,rule-based,,[],['USPTO_diff'],,[]
3049,3049,CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(=O)(=O)CCCCl)(c2ccccc2)S1.[N-]=[N+]=[N-]>>CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(=O)(=O)CCCN=[N+]=[N-])(c2ccccc2)S1.[Cl-],True,CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(=O)(=O)CCCCl)(c2ccccc2)S1.[N-]=[N+]=[N-]>>CC(C)(C)C(=O)NC1=NN(C(=O)C(C)(C)C)C(CNS(=O)(=O)CCCN=[N+]=[N-])(c2ccccc2)S1,,rule-based,,[],['USPTO_diff'],,[]
3050,3050,CCCCn1cnc2c(Cl)nc(Nc3ccc(OCC)nc3)nc21.C[O-]>>CCCCn1cnc2c(OC)nc(Nc3ccc(OCC)nc3)nc21.[Cl-],True,CCCCn1cnc2c(Cl)nc(Nc3ccc(OCC)nc3)nc21.C[O-]>>CCCCn1cnc2c(OC)nc(Nc3ccc(OCC)nc3)nc21,,rule-based,,[],['USPTO_diff'],,[]
3051,3051,COC(=O)c1cocc1-n1c(Cl)nn(C)c1=O.C[O-]>>COC(=O)c1cocc1-n1c(OC)nn(C)c1=O.[Cl-],True,COC(=O)c1cocc1-n1c(Cl)nn(C)c1=O.C[O-]>>COC(=O)c1cocc1-n1c(OC)nn(C)c1=O,,rule-based,,[],['USPTO_diff'],,[]
3052,3052,Cc1nc(CCl)ccc1OCc1ccccc1.[N-]=[N+]=[N-]>>Cc1nc(CN=[N+]=[N-])ccc1OCc1ccccc1.[Cl-],True,Cc1nc(CCl)ccc1OCc1ccccc1.[N-]=[N+]=[N-]>>Cc1nc(CN=[N+]=[N-])ccc1OCc1ccccc1,,rule-based,,[],['USPTO_diff'],,[]
3053,3053,COC(=O)c1ccnc(Cl)c1.C[O-]>>COC(=O)c1ccnc(OC)c1.[Cl-],True,COC(=O)c1ccnc(Cl)c1.C[O-]>>COC(=O)c1ccnc(OC)c1,,rule-based,,[],['USPTO_diff'],,[]
3054,3054,COc1ccc(N(C)c2nc(Cl)nc3ccccc23)cc1.[N-]=[N+]=[N-]>>COc1ccc(N(C)c2nc(N=[N+]=[N-])nc3ccccc23)cc1.[Cl-],True,COc1ccc(N(C)c2nc(Cl)nc3ccccc23)cc1.[N-]=[N+]=[N-]>>COc1ccc(N(C)c2nc(N=[N+]=[N-])nc3ccccc23)cc1,,rule-based,,[],"['USPTO_unbalance_class', 'USPTO_diff']",,[]
3055,3055,CC[S-].Clc1ccnc2ccc(Br)cc12>>CCSc1ccnc2ccc(Br)cc12.[Cl-],True,CC[S-].Clc1ccnc2ccc(Br)cc12>>CCSc1ccnc2ccc(Br)cc12,,rule-based,,[],['USPTO_diff'],,[]
3056,3056,CCOC(=O)c1sc(Cl)nc1-c1ccc(C(F)(F)F)cc1.[N-]=[N+]=[N-]>>CCOC(=O)c1sc(N=[N+]=[N-])nc1-c1ccc(C(F)(F)F)cc1.[Cl-],True,CCOC(=O)c1sc(Cl)nc1-c1ccc(C(F)(F)F)cc1.[N-]=[N+]=[N-]>>CCOC(=O)c1sc(N=[N+]=[N-])nc1-c1ccc(C(F)(F)F)cc1,,rule-based,,[],['USPTO_diff'],,[]
3057,3057,COC(=O)Cc1ccc(CC#CCl)cc1.[N-]=[N+]=[N-]>>COC(=O)Cc1ccc(CC#CN=[N+]=[N-])cc1.[Cl-],True,COC(=O)Cc1ccc(CC#CCl)cc1.[N-]=[N+]=[N-]>>COC(=O)Cc1ccc(CC#CN=[N+]=[N-])cc1,,rule-based,,[],['USPTO_diff'],,[]
3058,3058,C[C@]12CC=C3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=C(Cl)C(Cl)S(=O)c1ccccc1.C[O-]>>COC(=C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C)C(Cl)S(=O)c1ccccc1.[Cl-],True,C[C@]12CC=C3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CCC2=C(Cl)C(Cl)S(=O)c1ccccc1.C[O-]>>COC(=C1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)C3=CC[C@]12C)C(Cl)S(=O)c1ccccc1,,rule-based,,[],['USPTO_diff'],,[]
3059,3059,CC(C)(C)[O-].CC(C)(CCl)C(=O)Cl>>CC(C)(C)OC(=O)C(C)(C)CCl.[Cl-],True,CC(C)(C)[O-].CC(C)(CCl)C(=O)Cl>>CC(C)(C)OC(=O)C(C)(C)CCl,,rule-based,,[],['USPTO_diff'],,[]
3060,3060,[N-]=[N+]=[N-].[O-][n+]1c(Cl)ccc2ccccc21>>[N-]=[N+]=Nc1ccc2ccccc2[n+]1[O-].[Cl-],True,[N-]=[N+]=[N-].[O-][n+]1c(Cl)ccc2ccccc21>>[N-]=[N+]=Nc1ccc2ccccc2[n+]1[O-],,rule-based,,[],['USPTO_diff'],,[]
3061,3061,CS(=O)(=O)N1CCN(C(=O)CCCCl)CC1.[N-]=[N+]=[N-]>>CS(=O)(=O)N1CCN(C(=O)CCCN=[N+]=[N-])CC1.[Cl-],True,CS(=O)(=O)N1CCN(C(=O)CCCCl)CC1.[N-]=[N+]=[N-]>>CS(=O)(=O)N1CCN(C(=O)CCCN=[N+]=[N-])CC1,,rule-based,,[],['USPTO_diff'],,[]
3062,3062,C[O-].O=[N+]([O-])c1ccc2ccnc(Cl)c2c1>>COc1nccc2ccc([N+](=O)[O-])cc12.[Cl-],True,C[O-].O=[N+]([O-])c1ccc2ccnc(Cl)c2c1>>COc1nccc2ccc([N+](=O)[O-])cc12,,rule-based,,[],['USPTO_diff'],,[]
3063,3063,CC(C)OC(=O)c1cc(-n2c(Cl)nc(C(F)(F)C(F)(F)F)cc2=O)c(F)cc1Cl.C[O-]>>COc1nc(C(F)(F)C(F)(F)F)cc(=O)n1-c1cc(C(=O)OC(C)C)c(Cl)cc1F.[Cl-],True,CC(C)OC(=O)c1cc(-n2c(Cl)nc(C(F)(F)C(F)(F)F)cc2=O)c(F)cc1Cl.C[O-]>>COc1nc(C(F)(F)C(F)(F)F)cc(=O)n1-c1cc(C(=O)OC(C)C)c(Cl)cc1F,,rule-based,,[],['USPTO_diff'],,[]
3064,3064,COc1cc(Nc2nc(C)cc(Cl)n2)cc(OC)c1OC.[O-]c1ccccc1>>COc1cc(Nc2nc(C)cc(Oc3ccccc3)n2)cc(OC)c1OC.[Cl-],True,COc1cc(Nc2nc(C)cc(Cl)n2)cc(OC)c1OC.[O-]c1ccccc1>>COc1cc(Nc2nc(C)cc(Oc3ccccc3)n2)cc(OC)c1OC,,rule-based,,[],['USPTO_diff'],,[]
3065,3065,C[O-].Nc1nc2cc(Cl)c(Cl)cc2nc1Cl>>COc1nc2cc(Cl)c(Cl)cc2nc1N.[Cl-],True,C[O-].Nc1nc2cc(Cl)c(Cl)cc2nc1Cl>>COc1nc2cc(Cl)c(Cl)cc2nc1N,,rule-based,,[],['USPTO_diff'],,[]
3066,3066,COC(=O)c1cc(F)c(C)nc1Cl.C[O-]>>COC(=O)c1cc(F)c(C)nc1OC.[Cl-],True,COC(=O)c1cc(F)c(C)nc1Cl.C[O-]>>COC(=O)c1cc(F)c(C)nc1OC,,rule-based,,[],['USPTO_diff'],,[]
3067,3067,COc1ncccc1C=O.[NH4+].[H].[H]>>COc1ncccc1CN.[H+].O,True,COc1ncccc1C=O.[NH4+]>>COc1ncccc1CN,,rule-based,,[],['USPTO_diff'],,[]
3068,3068,COCCCOc1cc(CC(=O)C(C)(C)C)ccc1Cl.[NH4+].[H].[H]>>COCCCOc1cc(CC(N)C(C)(C)C)ccc1Cl.[H+].O,True,COCCCOc1cc(CC(=O)C(C)(C)C)ccc1Cl.[NH4+]>>COCCCOc1cc(CC(N)C(C)(C)C)ccc1Cl,,rule-based,,[],['USPTO_diff'],,[]
3069,3069,CC1CN(Cc2ccccc2)CCC1=O.[NH4+].[H].[H]>>CC1CN(Cc2ccccc2)CCC1N.[H+].O,True,CC1CN(Cc2ccccc2)CCC1=O.[NH4+]>>CC1CN(Cc2ccccc2)CCC1N,,rule-based,,[],['USPTO_diff'],,[]
3070,3070,CC(=O)c1cc(Cl)c2cncn2c1N1CCN(C(C)=O)CC1.[NH4+].[H].[H]>>CC(=O)N1CCN(c2c(C(C)N)cc(Cl)c3cncn23)CC1.[H+].O,True,CC(=O)c1cc(Cl)c2cncn2c1N1CCN(C(C)=O)CC1.[NH4+]>>CC(=O)N1CCN(c2c(C(C)N)cc(Cl)c3cncn23)CC1,,rule-based,,[],['USPTO_diff'],,[]
3071,3071,CC(=O)c1cc2cccnc2n1-c1cccc(F)c1.[NH4+].[H].[H]>>CC(N)c1cc2cccnc2n1-c1cccc(F)c1.[H+].O,True,CC(=O)c1cc2cccnc2n1-c1cccc(F)c1.[NH4+]>>CC(N)c1cc2cccnc2n1-c1cccc(F)c1,,rule-based,,[],['USPTO_diff'],,[]
3072,3072,O=C1CCN(C2(c3ccccc3)CCCCC2)CC1.[NH4+].[H].[H]>>NC1CCN(C2(c3ccccc3)CCCCC2)CC1.[H+].O,True,O=C1CCN(C2(c3ccccc3)CCCCC2)CC1.[NH4+]>>NC1CCN(C2(c3ccccc3)CCCCC2)CC1,,rule-based,,[],['USPTO_diff'],,[]
3073,3073,COC(=O)N[C@H]1CCN(c2c(C(C)=O)cc(Cl)c3cccnc23)C1.[NH4+].[H].[H]>>COC(=O)N[C@H]1CCN(c2c(C(C)N)cc(Cl)c3cccnc23)C1.[H+].O,True,COC(=O)N[C@H]1CCN(c2c(C(C)=O)cc(Cl)c3cccnc23)C1.[NH4+]>>COC(=O)N[C@H]1CCN(c2c(C(C)N)cc(Cl)c3cccnc23)C1,,rule-based,,[],['USPTO_diff'],,[]
3074,3074,O=C1CCC(Nc2ccc3[nH]ncc3c2)CC1.[NH4+].[H].[H]>>NC1CCC(Nc2ccc3[nH]ncc3c2)CC1.[H+].O,True,O=C1CCC(Nc2ccc3[nH]ncc3c2)CC1.[NH4+]>>NC1CCC(Nc2ccc3[nH]ncc3c2)CC1,,rule-based,,[],['USPTO_diff'],,[]
3075,3075,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)[C@H](C=O)OCc1ccccc1.CC(C)C[NH3+].[H].[H]>>CC(C)CNC[C@@H](OCc1ccccc1)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C.[H+].O,True,CC(C)(C)OC(=O)N[C@@H](CC1CCCCC1)[C@H](C=O)OCc1ccccc1.CC(C)C[NH3+]>>CC(C)CNC[C@@H](OCc1ccccc1)[C@H](CC1CCCCC1)NC(=O)OC(C)(C)C,,rule-based,,[],['USPTO_diff'],,[]
3076,3076,CC(=O)CCc1c(Cl)cc(Cl)cc1Cl.[NH4+].[H].[H]>>CC(N)CCc1c(Cl)cc(Cl)cc1Cl.[H+].O,True,CC(=O)CCc1c(Cl)cc(Cl)cc1Cl.[NH4+]>>CC(N)CCc1c(Cl)cc(Cl)cc1Cl,,rule-based,,[],['USPTO_diff'],,[]
3077,3077,CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)C2CCN(C(C)=O)CC2)CC1.[NH4+].[H].[H]>>CC(=O)N1CCC(C(=O)N2CCN(c3c(C(C)N)cc(Cl)c4cccnc34)CC2)CC1.[H+].O,True,CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)C2CCN(C(C)=O)CC2)CC1.[NH4+]>>CC(=O)N1CCC(C(=O)N2CCN(c3c(C(C)N)cc(Cl)c4cccnc34)CC2)CC1,,rule-based,,[],['USPTO_diff'],,[]
3078,3078,CCC1(C)CN(Cc2ccccc2)CCC1=O.[NH4+].[H].[H]>>CCC1(C)CN(Cc2ccccc2)CCC1N.[H+].O,True,CCC1(C)CN(Cc2ccccc2)CCC1=O.[NH4+]>>CCC1(C)CN(Cc2ccccc2)CCC1N,,rule-based,,[],['USPTO_diff'],,[]
3079,3079,CC1(C)CN(Cc2ccccc2)CCC1=O.[NH4+].[H].[H]>>CC1(C)CN(Cc2ccccc2)CCC1N.[H+].O,True,CC1(C)CN(Cc2ccccc2)CCC1=O.[NH4+]>>CC1(C)CN(Cc2ccccc2)CCC1N,,rule-based,,[],['USPTO_diff'],,[]
3080,3080,COC(C)(OC)C(C)=O.[NH4+].[H].[H]>>COC(C)(OC)C(C)N.[H+].O,True,COC(C)(OC)C(C)=O.[NH4+]>>COC(C)(OC)C(C)N,,rule-based,,[],['USPTO_diff'],,[]
3081,3081,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)c1ccc(OCc2ccccc2)cc1.[NH4+].[H].[H]>>CC(C)(C)OC(=O)N1CCC[C@@H]1C(N)c1ccc(OCc2ccccc2)cc1.[H+].O,True,CC(C)(C)OC(=O)N1CCC[C@@H]1C(=O)c1ccc(OCc2ccccc2)cc1.[NH4+]>>CC(C)(C)OC(=O)N1CCC[C@@H]1C(N)c1ccc(OCc2ccccc2)cc1,,rule-based,,[],['USPTO_diff'],,[]
3082,3082,CC(=O)C1(c2ccc(Cl)c(Cl)c2)CCC1.[NH4+].[H].[H]>>CC(N)C1(c2ccc(Cl)c(Cl)c2)CCC1.[H+].O,True,CC(=O)C1(c2ccc(Cl)c(Cl)c2)CCC1.[NH4+]>>CC(N)C1(c2ccc(Cl)c(Cl)c2)CCC1,,rule-based,,[],['USPTO_diff'],,[]
3083,3083,CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)c2c(C)noc2C)CC1.[NH4+].[H].[H]>>Cc1noc(C)c1C(=O)N1CCN(c2c(C(C)N)cc(Cl)c3cccnc23)CC1.[H+].O,True,CC(=O)c1cc(Cl)c2cccnc2c1N1CCN(C(=O)c2c(C)noc2C)CC1.[NH4+]>>Cc1noc(C)c1C(=O)N1CCN(c2c(C(C)N)cc(Cl)c3cccnc23)CC1,,rule-based,,[],['USPTO_diff'],,[]
3084,3084,O=Cc1cccs1.[NH3+]CCOc1ccc2ccccc2c1F.[H].[H]>>Fc1c(OCCNCc2cccs2)ccc2ccccc12.[H+].O,True,O=Cc1cccs1.[NH3+]CCOc1ccc2ccccc2c1F>>Fc1c(OCCNCc2cccs2)ccc2ccccc12,,rule-based,,[],['USPTO_diff'],,[]
3085,3085,O=Cc1c(OCCO)cccc1OCCO.[NH4+].[H].[H]>>NCc1c(OCCO)cccc1OCCO.[H+].O,True,O=Cc1c(OCCO)cccc1OCCO.[NH4+]>>NCc1c(OCCO)cccc1OCCO,,rule-based,,[],['USPTO_diff'],,[]
3086,3086,CC1(C)CC(=O)c2ccccc21.[NH4+].[H].[H]>>CC1(C)CC(N)c2ccccc21.[H+].O,True,CC1(C)CC(=O)c2ccccc21.[NH4+]>>CC1(C)CC(N)c2ccccc21,,rule-based,,[],['USPTO_diff'],,[]
3087,3087,O=C1CC[C@@]2(c3ccc4c(c3)OCO4)CCN(Cc3ccccc3)[C@H]2C1.[NH4+].[H].[H]>>NC1CC[C@@]2(c3ccc4c(c3)OCO4)CCN(Cc3ccccc3)[C@H]2C1.[H+].O,True,O=C1CC[C@@]2(c3ccc4c(c3)OCO4)CCN(Cc3ccccc3)[C@H]2C1.[NH4+]>>NC1CC[C@@]2(c3ccc4c(c3)OCO4)CCN(Cc3ccccc3)[C@H]2C1,,rule-based,,[],['USPTO_diff'],,[]
3088,3088,CC(=O)c1cccc(C)n1.[NH4+].[H].[H]>>Cc1cccc(C(C)N)n1.[H+].O,True,CC(=O)c1cccc(C)n1.[NH4+]>>Cc1cccc(C(C)N)n1,,rule-based,,[],['USPTO_diff'],,[]
3089,3089,COCCOc1cc(CC(=O)C(C)C)ccc1F.[NH4+].[H].[H]>>COCCOc1cc(CC(N)C(C)C)ccc1F.[H+].O,True,COCCOc1cc(CC(=O)C(C)C)ccc1F.[NH4+]>>COCCOc1cc(CC(N)C(C)C)ccc1F,,rule-based,,[],['USPTO_diff'],,[]
3090,3090,COc1ccc(CC(=O)C(C)C)cc1OC.[NH4+].[H].[H]>>COc1ccc(CC(N)C(C)C)cc1OC.[H+].O,True,COc1ccc(CC(=O)C(C)C)cc1OC.[NH4+]>>COc1ccc(CC(N)C(C)C)cc1OC,,rule-based,,[],['USPTO_diff'],,[]
3091,3091,O=C1CCN(c2ccc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1.[NH4+].[H].[H]>>NC1CCN(c2ccc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1.[H+].O,True,O=C1CCN(c2ccc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1.[NH4+]>>NC1CCN(c2ccc(N3C[C@H](COc4ccon4)OC3=O)cc2F)CC1,,rule-based,,[],['USPTO_diff'],,[]
3092,3092,CC(=O)c1nc(C)c2ccccc2c1-c1cccc(F)c1.[NH4+].[H].[H]>>Cc1nc(C(C)N)c(-c2cccc(F)c2)c2ccccc12.[H+].O,True,CC(=O)c1nc(C)c2ccccc2c1-c1cccc(F)c1.[NH4+]>>Cc1nc(C(C)N)c(-c2cccc(F)c2)c2ccccc12,,rule-based,,[],['USPTO_diff'],,[]
3093,3093,CCOC(C)n1cc(-c2c(C)c(Cl)cc(C(C)=O)c2-c2cccc(F)c2)cn1.[NH4+].[H].[H]>>CCOC(C)n1cc(-c2c(C)c(Cl)cc(C(C)N)c2-c2cccc(F)c2)cn1.[H+].O,True,CCOC(C)n1cc(-c2c(C)c(Cl)cc(C(C)=O)c2-c2cccc(F)c2)cn1.[NH4+]>>CCOC(C)n1cc(-c2c(C)c(Cl)cc(C(C)N)c2-c2cccc(F)c2)cn1,,rule-based,,[],['USPTO_diff'],,[]
3094,3094,[N-]=[N+]=N[C@@H]1c2cccnc2C(=O)CC[C@H]1c1cccc(F)c1F.[NH4+].[H].[H]>>[N-]=[N+]=N[C@@H]1c2cccnc2[C@H](N)CC[C@H]1c1cccc(F)c1F.[H+].O,True,[N-]=[N+]=N[C@@H]1c2cccnc2C(=O)CC[C@H]1c1cccc(F)c1F.[NH4+]>>[N-]=[N+]=N[C@@H]1c2cccnc2[C@H](N)CC[C@H]1c1cccc(F)c1F,,rule-based,,[],['USPTO_diff'],,[]
3095,3095,CC(=O)c1ccc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1.[NH4+].[H].[H]>>CC(N)c1ccc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1.[H+].O,True,CC(=O)c1ccc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1.[NH4+]>>CC(N)c1ccc(Nc2ncc(Cl)c(CCc3ccccc3C3(C(N)=O)CC3)n2)cn1,,rule-based,,[],['USPTO_diff'],,[]
3096,3096,CC(=O)CCCCC[C@H]([NH3+])C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12.O=CCc1c[nH]c2ccccc12.[H].[H]>>CC(=O)CCCCC[C@H](NCCc1c[nH]c2ccccc12)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12.[H+].O,True,CC(=O)CCCCC[C@H]([NH3+])C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12.O=CCc1c[nH]c2ccccc12>>CC(=O)CCCCC[C@H](NCCc1c[nH]c2ccccc12)C(=O)NCCc1c(-c2ccccc2)[nH]c2ccccc12,,rule-based,,[],['USPTO_diff'],,[]
3097,3097,NNc1ccccc1C(F)(F)F.O=C1CCNCC1>>FC(F)(F)c1cccc2c3c([nH]c12)CCNC3.[NH4+].[OH-],True,NNc1ccccc1C(F)(F)F.O=C1CCNCC1>>FC(F)(F)c1cccc2c3c([nH]c12)CCNC3,,rule-based,,[],['USPTO_diff'],,[]
